id,name,pod,status,last_active,created_at
CEO-001,"CEO Agent (Master Orchestrator)",management,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
ACQ-001,"Inbound Agent",akquise,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
ACQ-002,"Lead Qualification Agent",akquise,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
SALES-001,"Needs Analysis Agent",vertrieb,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
SALES-002,"Solution Architect Agent",vertrieb,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
SALES-003,"Proposal Writer Agent",vertrieb,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
SALES-004,"Pricing Agent",vertrieb,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
DEL-001,"Onboarding Agent",delivery,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
DEL-002,"Developer Agent",delivery,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
DEL-003,"Delivery Manager Agent",delivery,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
OPS-001,"Finance Agent",operations,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
OPS-002,"Reporting Agent",operations,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
CS-001,"Satisfaction Monitor Agent",customer_success,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
CS-002,"Upsell Agent",customer_success,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
COMP-001,"Compliance Escalation Agent",compliance,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
COMP-002,"PII Filter Agent",compliance,active,"2025-06-24 10:55:32","2025-06-24 10:55:32"
